NOUN	Living_Animate_Entity	Natural_Object	Manufactured_Object	Informational_Object	Dynamic_situation	Stative_situation
consignation	0.9925183696786979	0.9863761234160173	0.8795951797511236	0.10553072064987865	0.4099305647491301	0.9422109765243688
ambassade	0.8239732974468729	0.9840664859518657	0.9190319399423096	0.860016020995704	0.8797116538386804	0.3930389185134383
mixité	0.9732305915669527	0.9948121095273419	0.978753827458003	0.9291883875760943	0.09824242365448821	0.05315866120019276
dirigeant	0.017157091480862172	0.9898570847330715	0.9772944693847335	0.8376902074613987	0.9424406006168302	0.9855785281061895
considération	0.9832213025909778	0.9735691521764478	0.9654889389245462	0.08308208920128612	0.9101726666886617	0.04799864450697766
colis	0.5725349987103256	0.9223615740861077	0.16520288957055557	0.7625669647896582	0.500115717315901	0.982292479925939
rideau	0.6750187897821666	0.5778805298541952	0.047043111997473956	0.9613440125235322	0.9035437950724526	0.9686401571681031
lucidité	0.9797049933730053	0.9389288890204639	0.9733449161417866	0.7273055505120286	0.8170177117223598	0.017554645108630217
contentieux	0.4157244043618413	0.9903026127933829	0.9589362005310305	0.12661998418884626	0.19694268179414892	0.9809759911943752
orphelin	0.01933081714814976	0.9617458745816884	0.9363121139137629	0.9572078624986892	0.9739279480475582	0.9768118994558268
mensualité	0.9843515786264764	0.9800670101798864	0.9326588980904161	0.021628456133804097	0.7073840716069913	0.8498905090748301
fromage	0.8230347201313392	0.029890089711831946	0.23836719621042493	0.982197969632196	0.9369690040542645	0.9883475528991096
foi	0.970140646184084	0.900540579569841	0.9622330222109033	0.26195726069484915	0.8920283488241156	0.036361340196649355
multiplicité	0.9819565211585923	0.9752060227939449	0.9702467399584602	0.15541683614683008	0.16458625995807188	0.06877203807996472
commémoration	0.9864776052076458	0.9747618549203179	0.9725413626261921	0.6018481469915112	0.062298953073606	0.5071861343263812
balade	0.9298423068222622	0.5266253359274303	0.6357486448353312	0.932576293072161	0.5913555979063073	0.5796104384129102
chambre	0.9551725949578264	0.776140437757727	0.24436072864192737	0.862497855181046	0.9370530474676749	0.32445667524071165
vernis	0.8744880291303077	0.350344329126123	0.07103942156426275	0.9497355206601951	0.856685737712309	0.9467479564970572
moulin	0.5769623630496626	0.11703530920894606	0.07986692767396551	0.9756757860048177	0.9128803034730668	0.98205919158546
éducateur	0.013653527097169701	0.9924860128587533	0.9814660278144413	0.9498302872763662	0.9178916478740484	0.9868023918901463
observation	0.9834509516452654	0.9510348615440846	0.9591809524248294	0.1501950130113375	0.6609615323778278	0.15313924189360958
isolation	0.9892265929901314	0.9587701847915038	0.16991216418067742	0.9694431895880832	0.6799124556444934	0.019081667632628946
complément	0.749966121524391	0.970981841655213	0.872669782555085	0.3208938833022516	0.3507806234027264	0.9656337408372334
enjeu	0.6467904830689932	0.9882606603345926	0.9723969192810786	0.3828270900025583	0.7119186381522857	0.9742043183528777
tampon	0.8083856956651139	0.6739159616229533	0.18515986345278015	0.790808444739804	0.8104467032044829	0.9570210832205296
plateau	0.6678959649845827	0.4911498009782375	0.22702808108817737	0.9321949095783975	0.7158090934575411	0.9721981787928867
col	0.804617187557312	0.0680774035378852	0.24117741578844135	0.9548904944435231	0.8402672541180958	0.9639067056237803
collision	0.9899052210745403	0.44939637782363656	0.6340592986226089	0.795159957206958	0.10994820463540553	0.23353827167717653
fantôme	0.12938451150426394	0.753423975096502	0.7123943279692438	0.8800538772273349	0.7979045075062388	0.8733527871865853
altitude	0.9884749622951811	0.22488085580194753	0.498715197858405	0.9377034070564103	0.9047256853178013	0.020364236698001068
casquette	0.9635601288109051	0.4970532025834082	0.17997573260027513	0.9140503301829109	0.9454545701460412	0.43801282129038355
supériorité	0.9819854956038201	0.9660496904114303	0.9744518640786615	0.5214400031371731	0.4480621579349851	0.025848602794646798
appartenance	0.9823266760822407	0.9885732132964973	0.9775170648017671	0.7040210751327818	0.8540526998730599	0.03592126349485902
aigle	0.44532561632844425	0.24483204505418774	0.3836915717160535	0.9442578965592646	0.9638189413043019	0.6079920358727947
conclusion	0.9797064453700148	0.9796270709532741	0.9652460046450849	0.0357025764772944	0.5776775326686105	0.26122255719450316
auditorium	0.6025754637930798	0.9771456011063783	0.49625112450727643	0.940583111073343	0.912398251031278	0.929476384152902
guerre	0.9839325114185626	0.9554188348527448	0.9526110278486222	0.8633153758165385	0.29479723517152545	0.18603984419517647
reconversion	0.9818195686184144	0.9828352893512448	0.9616368049787388	0.6957252527575767	0.04308177864462894	0.4816511038471103
contrat	0.6320050942958475	0.9893345560390377	0.9539907505204775	0.09133535452694061	0.3906602407705314	0.9799642096634263
pignon	0.7798020156859348	0.284424754525463	0.16240074504663357	0.9705285686833321	0.9453652093312818	0.9796441429906994
contrée	0.9782679608158596	0.12653605357687017	0.7457404848862362	0.7232480992121602	0.9662897785283048	0.108808351798752
aveugle	0.07816315769812031	0.9314578114642105	0.9488238001825416	0.932650992949298	0.9706116336488018	0.7957670999123335
sens	0.9120130389300106	0.9257827935585901	0.8831053855162206	0.20625970515217087	0.682238268302726	0.7513664119766744
chapiteau	0.651218011948507	0.6319552647177696	0.06044177916926387	0.9400258666016607	0.9201684319507916	0.9389106849531312
tragédie	0.974088735415555	0.9394998589750025	0.950564040996354	0.38243124423363767	0.6882254669962237	0.10702712225173824
acceptation	0.9861930377898986	0.9916273188751968	0.9793584860072512	0.2860819059505092	0.237808988406847	0.03057681124571536
Noun
condamné	0.03040927334584677	0.952362778251946	0.9082399011003822	0.7981757988301824	0.7113476610964158	0.9760448867031387
localisation	0.9844647599430052	0.9218030521467465	0.9342888848071703	0.2897222299994053	0.1657058898848501	0.12411047959136182
rectification	0.9862089983545654	0.989907896341382	0.8992378282175917	0.03628221553565971	0.09344962720941068	0.3550229167218117
folie	0.961532756737917	0.6256071291225617	0.8182147426165158	0.7616028527086776	0.7317183727882819	0.04342957247123466
choix	0.5998412741617762	0.972572145304869	0.8938222099348844	0.46017675544122927	0.42204934991954796	0.9577699120956084
espèce	0.9684096637127017	0.37938427220927085	0.8966445356095539	0.4038843173080278	0.9548906009337607	0.3165572959554576
interpellation	0.9813716849831948	0.9884161645829848	0.9518975333467257	0.5103410222886273	0.4778869391228433	0.13963191326794866
plume	0.9107093026869708	0.2661784415476003	0.422498787069344	0.7112327705026928	0.9519139087572607	0.5153250173836228
feuillage	0.9073019951908293	0.02024508337059047	0.45554984879072824	0.9712730070778834	0.9506919372891847	0.8990969512260649
nazi	0.021657389146128254	0.9755809530386078	0.9344613259188939	0.9567782528745942	0.943862950871753	0.9858769903167269
appart	0.40572854730040403	0.8236335333008122	0.14097150075150983	0.9101153695820978	0.969190797280748	0.9219141145843506
coupable	0.06132376327293347	0.9591711343581435	0.9640824554797491	0.8573643136204167	0.7371377254115031	0.6167633616867518
château	0.4752364289887312	0.4127423590265589	0.14800980681711676	0.9530261909409018	0.7467692901239263	0.9663724321470122
gouverneur	0.017147662555054274	0.9821372585547201	0.9551220016276106	0.932683749462416	0.9201907255783615	0.9813144129392363
extinction	0.9880890514095538	0.858190375525542	0.8535620088768661	0.8661826080016601	0.046962051798057895	0.048706476569613764
