situ	0.7939171015061496	0.856541762979582	0.9091426764191817	0.21493583791722917	0.7666419683177749	0.877783350983353
bûcheron	0.9483993071539795	0.9733867288825864	0.8766054029076003	0.8840180864436215	0.31812801000395	0.04119466261721902
pacs	0.877744730349813	0.5125830459496001	0.9480686849002858	0.6222436345903282	0.9733109578194663	0.6075977341601836
inscrit	0.9670456765158161	0.8711496033013895	0.9153835726587551	0.9564681771866084	0.9710766831507758	0.024809189505326387
calcaire	0.9500412597134311	0.9383856258406915	0.1611138181528137	0.6832491566878073	0.040855771353312434	0.8541179745870879
nul	0.9395117331069401	0.9432110858414324	0.673786435259392	0.6171805658025287	0.9625300830850784	0.06648248341993139
prairie	0.2070119197723002	0.9285221856365186	0.31297361511962485	0.15868600508182254	0.039226386624517974	0.9842102266493049
terrassement	0.9373410030075653	0.960256875382354	0.30281968317472363	0.036691045311961414	0.8208301641695303	0.884655894763757
pathologie	0.13730316406332554	0.22870625680126913	0.9180467335917266	0.12652894722745775	0.8470756733652691	0.9793320226633481
auberge	0.17995082474427523	0.9578847825539486	0.17498813637106314	0.19177602538262015	0.716189003827496	0.9840690462179932
scolaire	0.9482586782021342	0.7930744219566527	0.9529461683584639	0.896929447541871	0.967816504355734	0.08974289660038297
amortissement	0.6417411344248278	0.32878949283990105	0.9149571153265248	0.11310295080246133	0.9605420030476116	0.7428168637445947
dessein	0.781290019274372	0.4195741617239306	0.8590398329766633	0.8050006071460337	0.9327606594217078	0.7348417288872853
torpille	0.7409379562228825	0.9476349047365467	0.28748555852101	0.061901544792344436	0.6883693671752146	0.9682758656706376
sédiment	0.9206380459778425	0.8597383798031257	0.5243912806857122	0.71537165978728	0.08126773822308972	0.6512428627493917
dengue	0.04898021034078033	0.9303102671543068	0.9634035523668912	0.036688643492251594	0.4687720671780214	0.973385163839372
juridiction	0.8459371034289627	0.14883491145069003	0.9830093978300259	0.2662995233217334	0.9841719997324256	0.9761444484559294
affleurement	0.8483189777927378	0.9099017357510962	0.3829790300786331	0.6975691384281246	0.08376448535861605	0.8798776267430062
para	0.9513232005907413	0.9411025163045915	0.9390618856085998	0.718024067727703	0.9782124571493325	0.4555283290712256
châssis	0.9616847188482601	0.939323166692601	0.04222390726504955	0.9102872812860182	0.4770676069104876	0.8919657580662458
réfugié	0.9582547116764842	0.971095699645397	0.9746102135559908	0.6409733348877099	0.9776378210087725	0.020159783511562133
consentement	0.1682639705982339	0.28943065289656683	0.9807317528007076	0.5001946674091756	0.9819848154454056	0.7639204429447676
tramway	0.8600416249068701	0.9343115297513737	0.17582191965074798	0.21908617904663202	0.9487969204907636	0.7434243295319846
instruction	0.30019420250669265	0.0684550147297607	0.9686061777875683	0.06234920002093807	0.9827268643558928	0.9830303203179915
intention	0.08632998434256803	0.7908371738868198	0.9662874871477659	0.17592860870458485	0.9848583680549525	0.9806729530259428
initiation	0.08451290238666051	0.5169239791776182	0.9671511890339046	0.06435892462688482	0.9800031812480855	0.9800341525844743
investigateur	0.9516673018019766	0.9117692578012836	0.9659780147917543	0.9546770422222028	0.9718198851202692	0.02530793656264309
diffraction	0.050611005511522346	0.7760269945496817	0.9537475689623068	0.03052046831258717	0.8972938338329948	0.9845212010331674
matelas	0.9423907984342699	0.9223633310355799	0.02580918609023569	0.9016568158375362	0.5897574421884395	0.5707299713948333
sel	0.9297834793086706	0.9632102499400411	0.17332983635571314	0.4461090995334674	0.031247897352274217	0.9633517619254006
pilule	0.40861546887121786	0.9101357255354903	0.34391390490444707	0.07387041486009362	0.6282403483062204	0.9491093954957609
cheminot	0.9583733909850621	0.9642087210843745	0.9703706487494781	0.9489562360935205	0.9701391773990562	0.02063151440947979
capitaine	0.8316961190450367	0.9668123338368692	0.933137023148438	0.9318992812767102	0.9674903515493626	0.04185476381424681
seuil	0.8966715348437913	0.12260700784797343	0.9066205432387782	0.4415419968841822	0.9753324849694781	0.8914404922499287
cortège	0.5395418853847267	0.9438700721450173	0.9323842165723227	0.4828358467675588	0.9156506505841351	0.8137472547254293
fraudeur	0.9484890007171531	0.9367407066058956	0.9175899223502163	0.7950978422723626	0.8146844010043576	0.20394016324652692
fusée	0.7981964508802366	0.8950339677092924	0.2684673743178282	0.04696869629269376	0.6071452589804246	0.978902196135901
chômage	0.05468122883195448	0.5832833531684053	0.9800826923668282	0.015519919406548953	0.9474008338678579	0.945184561632591
recension	0.5495236142101353	0.06815310253578998	0.9665388981845292	0.10314547545565823	0.9836941810675925	0.9803181509476593
tonnerre	0.2188876337763676	0.9692573368012507	0.19340527420297543	0.17996426256887027	0.33624887396945696	0.9816718737956046
réactif	0.9520546353830923	0.5888916815219041	0.4683966341440059	0.8236260126478759	0.6831606609390791	0.42012000077652806
effet	0.8643835731585306	0.26347057194776086	0.7522714177854674	0.10060375029040884	0.8536211365836529	0.8344804323084324
sensibilisation	0.08784490740357635	0.9343346369398496	0.9805120799692609	0.014849583750685852	0.9863130678037672	0.9858794350697216
mule	0.41768772529038656	0.9450128864710856	0.1522900908611653	0.5392805050729126	0.31985581230945836	0.9389293012569889
maître	0.9367611066950161	0.7501863434210477	0.936309403319198	0.9284168496246964	0.9671821906539898	0.1224711306702125
hivernage	0.16605461593548643	0.9174341966833574	0.835131418603516	0.049310208314537626	0.6189760598366368	0.9584918630127184
façon	0.05801387343095661	0.5047656764091378	0.9668711847237719	0.26122925731538554	0.9683332080608594	0.9813246222480407
loge	0.6872970514634821	0.8002150550618982	0.5661053927503272	0.22639394100025104	0.8104240864352422	0.9848990011960844
